RULES,,,,
,,,,
BARREL,,,,
,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,
1122,1,1,1-8,
1122,1,3,1-8,
1122,1,5,1-8,
1122,1,7,1-8,
1122,1,9,1-8,
1122,1,11,1-8,
1123,1,2,1-8,
1123,1,4,1-8,
1123,1,6,1-8,
1123,1,8,1-8,
1123,1,10,1-8,
1123,1,12,1-8,
1124,2,1-28,1-4,
1124,2,1-28,5-8,
1125,3,1-44,1-4,
1126,3,1-44,5-8,
1127,4,1-64,1-4,
1128,4,1-64,5-8,
,,,,
ENDCAP,,,,
,,,,
TEMPLATE ID ,DISK,BLADE,SIDE,PANEL
1130,1-3,23-56,1-2,1
1131,1-3,1-22,1-2,1
1132,1-3,1-22,1-2,2
1033,1-3,23-56,1-2,2
,,,,
EXCEPTIONS,,,,
,,,,
BARREL,,,,
,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,
1129,2,24,4,
1129,2,22,4,
1129,2,12,4,
1129,2,12,3,
1129,2,12,2,
1129,2,8,5,
1129,2,8,6,
1129,2,8,7,
,,,,
ENDCAP,,,,
,,,,
TEMPLATE ID ,DISK,BLADE,SIDE,PANEL
